:START_ID(Tag),:END_ID(Concept)
10,/c/en/10/n/ll_cool_j_album
10,/c/en/10/n/los_angeles_railway
10,/c/en/10/n/film
10,/c/en/10/n/mercyme_album
10,/c/en/10/n/croatia
10,/c/en/10/n/john_anderson_album
10,/c/en/10/n/enuff_z'nuff_album
10,/c/en/10/n/the_stranglers_album
10,/c/en/10/n/the_guess_who_album
10,/c/en/10/n/new_kids_on_the_block_album
10,/c/en/10/n/ginger_album
10,/c/en/10/n/wet_wet_wet_album
10,/c/en/10/n/hombres_g_album
10,/c/en/10/n/hunter_album
10,/c/en/10/n/kate_rusby_album
10,/c/en/10/n/linea_77_album
10,/c/en/10/n/tv_miniseries
10,/c/en/10
10,/c/en/10/n
130,/c/en/130
1980,/c/en/1980/n/estelle_song
1980,/c/en/1980
1980,/c/en/1980/n/o_s_t_r_song
1980,/c/en/1980/n/album
1992,/c/en/1992/n
1992,/c/en/1992
2,/c/en/2/n/all_girl_summer_fun_band_album
2,/c/en/2/n/sneaky_sound_system_album
2,/c/en/2/n/black_country_communion_album
2,/c/en/2/n/the_black_heart_procession_album
2,/c/en/2/n/netsky_album
2,/c/en/2/n/mac_demarco_album
2,/c/en/2/n/pole_album
2,/c/en/2/n/retribution_gospel_choir_album
2,/c/en/2/n/rockapella_album
2,/c/en/2/n/smoking_popes_ep
2,/c/en/2/n/darker_my_love_album
2,/c/en/2/n/florent_pagny_album
2,/c/en/2/n/nik_jay_album
2,/c/en/2/n/olivia_newton_john_album
2,/c/en/2/a
2,/c/en/2/r
2,/c/en/2/n/croatia
2,/c/en/2
2012,/c/en/2012
2012,/c/en/2012/n/it_ain't_the_end
2012,/c/en/2012/n/film
2012,/c/en/2012/n/album
2012,/c/en/2012/n/ep
2017,/c/en/2017
2018,/c/en/2018
2019,/c/en/2019
21,/c/en/21
21,/c/en/21/n/song
21,/c/en/21/n/adele_album
21,/c/en/21/n/rage_album
21,/c/en/21/n/boardwalk_empire
21,/c/en/21/n/omarion_album
21,/c/en/21/n/2008_film
21,/c/en/21/n/the_paddingtons_song
23,/c/en/23/n/film
23,/c/en/23/n/rythem_album
23,/c/en/23/n/song
23,/c/en/23
23,/c/en/23/n/23_album
23,/c/en/23/n/blonde_redhead_album
23,/c/en/23/n/ep
23,/c/en/23/n/bushido_sido_album
420,/c/en/420/n/family_guy
420,/c/en/420/n
420,/c/en/420/n/cannabis_culture
420,/c/en/420
84,/c/en/84
98,/c/en/98
a,/c/en/a/n
a,/c/rap/a
a,/c/en/a/n/the_blood_group_whose_red_cells_carry_the_a_antigen
a,/c/en/a/n/the_1st_letter_of_the_roman_alphabet
a,/c/ang/a
a,/c/la/a
a,/c/enm/a
a,/c/gd/a
a,/c/en/a
abstract,/c/en/abstract/a/not_representing_or_imitating_external_reality_or_the_objects_of_nature
abstract,/c/en/abstract/v/consider_apart_from_a_particular_case_or_instance
abstract,/c/en/abstract/v
abstract,/c/en/abstract/v/consider_a_concept_without_thinking_of_a_specific_example
abstract,/c/en/abstract/a/existing_only_in_the_mind
abstract,/c/en/abstract
accordion,/c/en/accordion/n
accordion,/c/en/accordion/v
accordion,/c/en/accordion/n/a_portable_box_shaped_free_reed_instrument
accordion,/c/en/accordion
acid,/c/en/acid/n/band
acid,/c/en/acid
acid,/c/en/acid/a/having_the_characteristics_of_an_acid
acid,/c/en/acid/n/street_name_for_lysergic_acid_diethylamide
acid,/c/en/acid/n/any_of_various_water_soluble_compounds_having_a_sour_taste_and_capable_of_turning_litmus_red_and_reacting_with_a_base_to_form_a_salt
acid,/c/en/acid/a
acid,/c/en/acid/n
acoustic,/c/en/acoustic/n
acoustic,/c/en/acoustic/a/pertaining_to_hearing_or_the_science_of_sounds
acoustic,/c/en/acoustic/n/physics_a_science_of_sounds
acoustic,/c/en/acoustic/a/producing_or_produced_without_electrical_amplification
acoustic,/c/en/acoustic/n/album
acoustic,/c/en/acoustic/n/quality_of_a_space_for_doing_music
acoustic,/c/en/acoustic/a
acoustic,/c/en/acoustic/n/a_remedy_for_hearing_loss_or_deafness
acoustic,/c/en/acoustic
