:START_ID(Track),:END_ID(Tag)
141345853,#ikaoss
141345662,#ikaoss
256833409,(sountrack)
256833696,(sountrack)
256833249,(sountrack)
255530373,10
255530371,10
255530366,10
250608068,10
256361516,10 дней
257191295,120bpm
222848819,12strings guitar
257195735,130
146449263,1980
251910887,1991-2006
231490652,1992
212822854,1η δημοτικού
257193202,2
251122492,2005-2009
251122489,2005-2009
251122490,2005-2009
251122487,2005-2009
251122485,2005-2009
251122483,2005-2009
251122482,2005-2009
251122479,2005-2009
251122477,2005-2009
251122474,2005-2009
251122473,2005-2009
251122471,2005-2009
251122469,2005-2009
251122470,2005-2009
251122464,2005-2009
251122467,2005-2009
251122458,2005-2009
251122461,2005-2009
251122457,2005-2009
251122455,2005-2009
251122452,2005-2009
251122450,2005-2009
251122447,2005-2009
251122443,2005-2009
251122442,2005-2009
251122439,2005-2009
61997923,2012
46739793,2012
185745812,2015 mix
257190839,2016
257188155,2016
250647945,2016
257196161,2016
257194795,2016
255530366,2016.03.10
255530373,2016.03.18
255530371,2016.03.25
254947710,2016.3.10
254947694,2016.3.17
254947809,2016.3.23
257186624,2017
257186624,2018
257186624,2019
254947809,21
254947710,21
254947694,21
251956940,21
250620379,21
257186624,23
245986776,2人組　r&b
257193593,420
256747484,610 
257186624,808mafia
146449263,80s
146449263,84
163369703,885fm
231490652,90s
229789150,97.1
257193202,98
250481737,?!
250964972,a
250964677,a
250982784,"a sandy, scarlet-colored beach"
221365838,a-capella
226605701,a.y.a
133919862,about tess
256833051,abstract
254994065,abstract comedy
249965721,abstrakt
208856350,accordion
257187861,acid
257187854,acid
257187847,acid
257187840,acid
257187834,acid
257187818,acid
257187805,acid
257187796,acid
257187787,acid
257187768,acid
257187758,acid
257187751,acid
257187745,acid
257187739,acid
257187728,acid
257187718,acid
257187709,acid
257187699,acid
242877065,acid
242877061,acid
188816962,acidhouse
257193544,acoustic
230048835,acoustic
229085784,acoustic
257196161,acoustic
38535954,acoustic
222848819,acoustic guitar
187640615,activism
257174300,adamkilter
257186926,adeal
257188874,adidas
253646564,aesthetic
244985473,afghanistan
257030593,afl
256533651,african
229789150,aftershow
167332573,ainu
163369703,ainu
204112476,akb48
253874925,akiharu
255460235,akira
85935970,akira
188375605,akirayamaoka
236144460,alan lomax
257194358,album
146516758,album
211192272,alive
80620629,almaty
167332573,altai
163369703,altai
257193544,alternative
257187861,alternative
257187854,alternative
257187847,alternative
257187840,alternative
257187834,alternative
257187818,alternative
257187805,alternative
257187796,alternative
257187787,alternative
257187768,alternative
257187758,alternative
257187751,alternative
257187745,alternative
257187739,alternative
257187728,alternative
257187718,alternative
257187709,alternative
257187699,alternative
240001652,alternative
251122492,alternative
251122489,alternative
251122490,alternative
251122487,alternative
251122485,alternative
251122483,alternative
251122482,alternative
251122479,alternative
251122477,alternative
251122474,alternative
251122473,alternative
251122471,alternative
251122469,alternative
251122470,alternative
251122464,alternative
251122467,alternative
251122458,alternative
251122461,alternative
251122457,alternative
251122455,alternative
251122452,alternative
251122450,alternative
251122447,alternative
251122443,alternative
251122442,alternative
251122439,alternative
144819061,alternative
236361581,alternative
250295038,alternative country
256533651,alternative pop
257191968,alto
256705153,amalia
257194258,ambiance
257188874,ambience
256833077,ambient
256833051,ambient
256832891,ambient
257193831,ambient
257193544,ambient
257193386,ambient
257193296,ambient
257193202,ambient
257193907,ambient
257193005,ambient
257192771,ambient
257192266,ambient
257191295,ambient
257190839,ambient
257189489,ambient
257189240,ambient
257189236,ambient
257188874,ambient
257188273,ambient
257188172,ambient
257188155,ambient
257187919,ambient
257187861,ambient
257187854,ambient
257187847,ambient
257187840,ambient
257187834,ambient
257187818,ambient
257187805,ambient
257187796,ambient
257187787,ambient
257187768,ambient
257187766,ambient
257187758,ambient
257187751,ambient
257187745,ambient
257187739,ambient
257187728,ambient
257187718,ambient
257187709,ambient
257187699,ambient
257187693,ambient
257187686,ambient
257187420,ambient
239647486,ambient
231232442,ambient
256955992,ambient
256923415,ambient
253750016,ambient
250572388,ambient
202494259,ambient
168043539,ambient
163369703,ambient
188375605,ambient
184526847,ambient
163655923,ambient
144819061,ambient
257196161,ambient
257196017,ambient
257194795,ambient
257194753,ambient
257194258,ambient
135132526,ambient
193703486,ambient
86853702,ambient
86852073,ambient
86816958,ambient
195067709,ambient
134039917,ambient
89861622,ambient
75012626,ambient
40907290,ambient
26973030,ambient
257187390,ambient nature
250797863,amenbreak
246923290,amourfou
86853702,and
86852073,and
230048835,angel wings
151483002,angelite
170470157,angelite voices
253636635,anime
252914740,anime
250324283,anime
220251658,anime
201484300,anime
77922756,anime
75954996,anime
38765093,anime
38535954,anime
38765093,anime music
250324283,anime song
168444795,anime song
220250038,anime-song
77922756,animesong
250324283,anison
168444795,anison
168444795,anison_index
77922756,anison_index
75954996,anison_index
236144460,ann arbor
242877065,anorak
242877061,anorak
255734415,anthem
250647945,anthem
251910887,anthem
257015241,aomori noise
257014087,aomori noize
134039917,aqua
256407906,araas min tevreech
250647945,arhi
250647945,arkhi
257188273,art
250300478,art
251635798,art music
250647945,artist
236144460,artist
257196047,artist
257194358,artist
257193202,asap
123627621,ascalypso
123627191,ascalypso
168043539,asheville
256571669,asia
255734415,asia
251129930,asia
251129928,asia
251129926,asia
251129925,asia
250647945,asia
252301618,asia tour
255734415,asian
250647945,asian
244886400,asian
257153088,asleep
257149263,asleep
256566713,asleep
255874649,asleep
255455671,asleep
254882775,asleep
254326253,asleep
253644207,asleep
252427910,asleep
252042991,asleep
251256223,asleep
250886239,asleep
250084005,asleep
248926375,asleep
248591252,asleep
247745265,asleep
247431264,asleep
246788474,asleep
246253175,asleep
245464013,asleep
245114370,asleep
244277221,asleep
243946486,asleep
243102663,asleep
242830187,asleep
228338707,asmr
257153088,asmr
257149263,asmr
256566713,asmr
255874649,asmr
255503841,asmr
255455671,asmr
254882775,asmr
254326253,asmr
253693788,asmr
253644207,asmr
252427910,asmr
252042991,asmr
251713139,asmr
251256223,asmr
250886239,asmr
250567933,asmr
250084005,asmr
249724072,asmr
249267251,asmr
248926375,asmr
248591252,asmr
248255627,asmr
248223126,asmr
247745265,asmr
247431264,asmr
247057414,asmr
246791084,asmr
246788474,asmr
246572593,asmr
246253175,asmr
245942751,asmr
245464013,asmr
245114370,asmr
244745330,asmr
244277221,asmr
243946486,asmr
243604987,asmr
243102663,asmr
242830187,asmr
242428399,asmr
229336704,asmrnewscast
257103470,assenatormusic
215084872,asuka
251643481,athina
251632692,"athina, #mosxato"
210728127,athnasiadis
257122912,atl
251919847,atl hip hop
251919847,atlanta
229789150,atlanta
257190566,atmosphere
257189825,atmosphere
257189978,atmospheric
239647486,atmospheric
195067709,atmospheric
253874925,attack
252132694,audio
251989176,audio
257196161,audio
255717086,audio content
255716982,audio content
255716794,audio content
