id:ID(Concept),name:String,language:String,sense:String,partOfSpeech:String
/c/en/shun/v/avoid_and_stay_away_from_deliberately,shun,en,avoid_and_stay_away_from_deliberately,v
/c/en/shunworthy/a,shunworthy,en,,a
/c/ru/бежать/v,бежать,ru,,v
/c/en/scunner,scunner,en,,
/c/en/shunnable,shunnable,en,,
/c/en/unshunned,unshunned,en,,
/c/en/avoid_like_plague/v,avoid_like_plague,en,,v
/c/fi/karttaa/v,karttaa,fi,,v
/c/fr/infréquentable/a,infréquentable,fr,,a
/c/en/avoidance/n/deliberately_avoiding,avoidance,en,deliberately_avoiding,n
/c/en/shun,shun,en,,
/c/en/avoid/v/stay_clear_from,avoid,en,stay_clear_from,v
/c/en/polo,polo,en,,
/c/en/football,football,en,,
/c/en/baseball,baseball,en,,
/c/en/ping_pong,ping_pong,en,,
/c/en/chess,chess,en,,
/c/en/jack,jack,en,,
/c/en/backgammon,backgammon,en,,
/c/en/game,game,en,,
/c/en/play,play,en,,
/c/en/fun,fun,en,,
/c/en/activity,activity,en,,
/c/en/ost/n,ost,en,,n
/c/cs/životaschopnost,životaschopnost,cs,,
/c/fr/bo/n,bo,fr,,n
/c/sv/syd/n,syd,sv,,n
/c/en/ost,ost,en,,
/c/en/original,original,en,,
/c/en/soundtrack,soundtrack,en,,
/c/fr/bo,bo,fr,,
/c/en/pacific/a/relating_to_or_bordering_the_pacific_ocean,pacific,en,relating_to_or_bordering_the_pacific_ocean,a
/c/en/oceania/n/a_large_group_of_islands_in_the_south_pacific_including_melanesia_and_micronesia_and_polynesia,oceania,en,a_large_group_of_islands_in_the_south_pacific_including_melanesia_and_micronesia_and_polynesia,n
/c/en/antarctic_ocean/n/the_southern_waters_surrounding_antarctica,antarctic_ocean,en,the_southern_waters_surrounding_antarctica,n
/c/en/arafura_sea/n/a_part_of_the_western_pacific_ocean_to_the_north_of_australia_and_to_the_south_of_new_guinea_and_the_eastern_islands_of_indonesia,arafura_sea,en,a_part_of_the_western_pacific_ocean_to_the_north_of_australia_and_to_the_south_of_new_guinea_and_the_eastern_islands_of_indonesia,n
/c/en/australasia/n/australia_new_zealand_and_neighboring_islands_in_the_south_pacific,australasia,en,australia_new_zealand_and_neighboring_islands_in_the_south_pacific,n
/c/en/austronesia/n/islands_of_central_and_south_pacific,austronesia,en,islands_of_central_and_south_pacific,n
/c/en/bering_sea/n/part_of_the_north_pacific_between_alaska_and_siberia,bering_sea,en,part_of_the_north_pacific_between_alaska_and_siberia,n
/c/en/san_diego_bay/n/a_bay_of_the_pacific_in_southern_california,san_diego_bay,en,a_bay_of_the_pacific_in_southern_california,n
/c/en/peaceably/r/in_a_peaceable_manner,peaceably,en,in_a_peaceable_manner,r
/c/en/north_pacific/n/that_part_of_the_pacific_ocean_to_the_north_of_the_equator,north_pacific,en,that_part_of_the_pacific_ocean_to_the_north_of_the_equator,n
/c/en/pacific/n/the_largest_ocean_in_the_world,pacific,en,the_largest_ocean_in_the_world,n
/c/en/pacific/a/disposed_to_peace_or_of_a_peaceful_nature,pacific,en,disposed_to_peace_or_of_a_peaceful_nature,a
/c/en/ambient/a/completely_enveloping,ambient,en,completely_enveloping,a
/c/en/close/a/at_or_within_a_short_distance_in_space_or_time_or_having_elements_near_each_other,close,en,at_or_within_a_short_distance_in_space_or_time_or_having_elements_near_each_other,a
/c/de/atmosphärisch/a,atmosphärisch,de,,a
/c/de/umgebend/a,umgebend,de,,a
/c/en/ambient/a,ambient,en,,a
/c/en/ambient/n,ambient,en,,n
/c/en/atmospheric/a,atmospheric,en,,a
/c/en/nonambient/a,nonambient,en,,a
/c/en/output_rate/n,output_rate,en,,n
/c/en/ambient/a/encompassing_on_all_sides_surrounding_encircling_enveloping,ambient,en,encompassing_on_all_sides_surrounding_encircling_enveloping,a
/c/en/atmosphere/n/a_particular_environment_or_surrounding_influence,atmosphere,en,a_particular_environment_or_surrounding_influence,n
/c/en/ambient,ambient,en,,
/c/en/curve,curve,en,,
/c/en/incorporate,incorporate,en,,
/c/is/umhverfi,umhverfi,is,,
/c/en/rotten/a/having_decayed_or_disintegrated,rotten,en,having_decayed_or_disintegrated,a
/c/en/putrid/a,putrid,en,,a
/c/en/addle/a,addle,en,,a
